f1,f2,f3,f4,f5,n1,n2,class
1.003,1.4549438311,1.4566771884,0.3660582842,0.4028556758,4.159,7.435,C
7.196,9.4869538554,11.1180496567,0.1059903543,0.355402088,1.501,7.631,D
2.121,3.3753014383,20.3096152454,0.4389244122,1.4399473375,5.482,5.103,B
4.516,5.6078072474,5.9475770073,0.2081127266,0.3088002515,1.778,4.869,E
1.739,1.9049888954,4.8588212793,0.5713258763,0.7106383229,1.534,2.638,B
2.318,3.6915403628,11.9747973764,0.327908159,0.4577505881,3.297,5.814,B
2.105,2.2555491484,2.8738520016,0.4362859693,1.9871390387,9.734,1.947,D
8.354,10.4770206689,13.8747880418,0.1055228985,0.1150462818,0.169,1.591,E
4.211,5.4710030058,7.0569468532,0.1812184591,1.1308665217,2.643,6.295,D
7.396,8.3627402942,12.6929020603,0.0020283367,0.0030323386,3.07,0.542,C
5.762,7.4278406432,11.1629474835,0.148975076,0.2373731694,4.107,5.499,E
5.107,8.1784759762,45.0590754711,0.1678503517,0.4784819398,8.291,4.05,B
4.99,5.3132484188,40.275678442,0.1675626438,0.1785341617,1.888,0.978,B
3.501,32.1882179269,43.1421104249,0.2207493258,0.269530535,5.238,0.832,A
8.404,13.950059333,43.1329702642,0.0848288563,0.1049009572,0.364,1.015,B
0.791,0.8815513336,0.9438409824,0.9770139462,4.4665437359,0.12,2.887,D
4.48,6.582611052,10.0783603509,0.2079136084,0.7352981378,7.859,3.092,D
3.241,3.8502032373,6.2118966446,0.2896901641,0.9992185134,6.821,6.756,D
5.386,25.0325530583,27.8814061081,0.1493308838,8.1259243163,8.861,7.483,A
3.768,106.519931561,151.1097437616,0.0623762805,0.1804550434,5.474,6.707,A
3.276,3.6212186185,3.9147844914,0.1864184348,0.2690295675,0.221,6.204,E
4.871,5.0638924423,21.2264694084,0.0264679871,0.0389450552,7.621,1.893,B
9.089,29.9425164986,44.428517548,0.0093435558,0.0825123566,6.156,8.427,A
4.683,5.6940967594,5.8978523467,0.0836012288,0.7095486693,2.672,2.568,C
1.531,2.1769690875,2.5172928609,0.1095095963,0.4320490609,8.637,4.882,C
0.388,0.3940685556,0.5907365637,1.7004061466,110.1216145715,2.838,8.091,D
8.326,8.412053444,9.1684836198,0.0940167474,0.8367056901,1.943,1.273,D
9.54,13.3775758765,69.9434349028,0.078844835,0.0879612805,8.266,8.099,B
6.873,7.547563965,11.1473280084,0.0075882694,0.0118836833,4.383,5.34,C
7.351,42.4282832556,112.2263810248,0.0881395067,0.0956488605,3.082,1.015,A
5.895,6.9705432188,11.3534220635,0.1443262583,0.1718095493,1.235,1.755,E
7.863,22.9165708314,110.1473264428,0.0867621516,2.8758392954,9.835,3.678,A
1.287,4.5254213419,39.264201282,0.773947313,3.7745452161,9.029,0.836,A
4.835,6.1299746386,6.4983511931,0.1791121693,1.0332402643,8.246,5.368,D
0.613,14.8009314719,107.1842069595,1.215981535,1.4434914662,5.765,5.407,A
2.129,2.5727007602,2.7608880356,0.2976813566,1.5736487389,7.333,6.263,D
8.903,22.6106804439,23.5461595891,0.0300580509,0.0332105236,1.308,4.314,A
0.124,0.1797806544,0.2433049144,0.8480407936,1.0729701006,2.587,8.331,C
3.101,5.0389882695,8.2086688552,0.3104704136,0.8385650652,8.446,0.628,D
7.754,11.5243997065,12.9668966459,0.1136452399,0.1602881656,4.356,2.885,E
8.057,12.4759939941,45.9855558117,0.0964190978,0.792795077,1.657,3.07,B
6.297,7.3798906607,9.6566416225,0.0285003279,0.0364379071,5.711,5.971,C
3.223,41.3800836339,42.9091874146,0.0192888435,3.74718415,7.618,3.169,A
6.734,7.551654414,22.2356547662,0.0016111353,0.0025602889,1.435,0.656,B
3.457,9.4177824707,15.1491960926,0.2029825703,0.9905479455,4.123,6.575,A
2.781,16.821350383,25.1231490242,0.2322316162,6.8665671065,9.363,7.698,A
8.16,91.2955076943,142.1017225539,0.0908030702,0.1317771145,4.871,0.179,A
9.571,37.7670873188,39.4648928103,0.096563368,0.1016733629,5.3,1.147,A
8.014,71.0730998379,96.6945404087,0.0956923592,0.3897509079,9.192,4.538,A
4.92,118.6157401256,439.0869252513,0.0630586428,0.5266189803,4.912,1.005,A
0.41,0.4296520822,0.5386478384,1.8246175312,2.8540011059,6.711,4.307,E
2.814,17.3490189872,24.0636777556,0.3536734753,0.384019359,8.849,7.885,A
9.7,164.3076604594,241.0911022712,0.1008891529,0.4229199766,3.626,8.477,A
3.834,4.8831482447,7.9683163477,0.2003291956,4.0660011772,1.741,1.389,D
9.903,25.8752450248,75.3567683412,0.0768029914,0.0940133487,1.375,2.543,A
5.952,28.6670192715,40.9452863036,0.1258945464,0.1285474849,3.229,4.776,A
7.015,10.8827803328,15.8365829949,0.1279017628,0.4519553564,9.557,1.48,D
8.117,10.992288718,13.9306395624,0.1142690826,0.3296335189,6.23,7.7,D
7.442,7.8610428462,8.2118499151,0.1255446972,0.1830922857,4.107,1.602,E
1.109,1.1537378844,1.7714659322,0.5818503246,2.0124167887,9.957,3.668,D
1.273,1.555329255,5.2824252342,0.5164654543,0.6125586236,7.479,5.037,B
6.107,7.0145046501,11.1177668946,0.1167989338,2.7524397184,9.79,5.716,D
8.985,9.5519403132,13.7428587244,0.0736364558,0.0894684793,4.042,7.91,E
2.419,2.8431628905,4.122268886,0.3665703441,0.4857636788,2.136,8.596,E
1.029,1.2662072235,1.8234483736,0.1878183874,0.5296742833,4.626,9.843,C
